epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3820.62,1.38797,0.74967,1.62214,0.85756,0.90077,0.92947,0.49577,1.42943,0.56344,1.72887,0.005842,0.005842,0.005842
44,3914.76,1.38532,0.75177,1.622,0.87013,0.90112,0.93474,0.50006,1.42592,0.5614,1.72714,0.005743,0.005743,0.005743
45,4004.01,1.3846,0.74957,1.62101,0.86445,0.90139,0.93254,0.4988,1.42406,0.5602,1.72769,0.005644,0.005644,0.005644
46,4091.32,1.37891,0.74384,1.6204,0.86705,0.90213,0.93568,0.49964,1.42375,0.55754,1.72427,0.005545,0.005545,0.005545
47,4181.01,1.3821,0.74387,1.61584,0.87281,0.89905,0.93217,0.50089,1.42224,0.55902,1.72439,0.005446,0.005446,0.005446
48,4270.32,1.37175,0.73872,1.60803,0.87218,0.90099,0.92969,0.50085,1.4215,0.55781,1.72169,0.005347,0.005347,0.005347
49,4355.66,1.37064,0.73494,1.60399,0.85792,0.90545,0.92552,0.49514,1.42491,0.5581,1.72861,0.005248,0.005248,0.005248
50,4444.83,1.36498,0.73219,1.60485,0.85992,0.91234,0.93087,0.49872,1.42142,0.55537,1.72673,0.005149,0.005149,0.005149
51,4535.18,1.36051,0.72691,1.59591,0.86267,0.9027,0.93513,0.50072,1.42801,0.55617,1.73194,0.00505,0.00505,0.00505
52,4625.48,1.35732,0.72286,1.5937,0.85437,0.91607,0.93339,0.49999,1.42408,0.55266,1.72774,0.004951,0.004951,0.004951
53,4715.64,1.35806,0.72387,1.59547,0.87187,0.90248,0.93417,0.50248,1.42608,0.55356,1.72882,0.004852,0.004852,0.004852
54,4806.53,1.3534,0.72255,1.59143,0.85278,0.92625,0.9349,0.50153,1.43072,0.55608,1.73405,0.004753,0.004753,0.004753
55,4898.63,1.35044,0.71759,1.58573,0.8778,0.89734,0.93505,0.50137,1.42786,0.55389,1.73083,0.004654,0.004654,0.004654
