epoch,time,train_loss,train_acc,accuracy,precision,recall,f1,map,ndcg,hit_rate,lr
1,220.5686228275299,0.8418621985632696,61.02827705156137,82.60123541523679,87.94683351941477,82.60123541523679,83.7819592280872,0.9024250743536948,0.9274740496396737,82.60123541523679,0.0001
2,176.79715299606323,0.5008150688443568,79.57175925925925,95.47014413177763,95.79204430497181,95.47014413177763,95.5589868808198,0.9760924273621596,0.9822931615967263,95.47014413177763,0.0001
3,170.7913568019867,0.3838432762790782,84.65073529411765,96.98009608785175,97.24238946623817,96.98009608785175,97.01509445941736,0.9843285289407459,0.9884051203769986,96.98009608785175,1e-05
4,169.30630230903625,0.3181043517604719,87.81091140159768,96.84282772820865,97.0453979018813,96.84282772820865,96.88990345421996,0.9832990162434226,0.9876289160162769,96.84282772820865,1e-05
5,168.07169151306152,0.29853120913151476,88.6835058097313,97.42621825669183,97.53927125851148,97.42621825669183,97.45613648435354,0.9864447494852436,0.9899617620024028,97.42621825669183,1e-05
6,166.8866958618164,0.2983331975291064,88.64719498910675,97.18599862731641,97.36169371945428,97.18599862731641,97.22770014052094,0.9849576755891102,0.9888505264180317,97.18599862731641,1.0000000000000002e-06
7,168.2693862915039,0.28701335306434245,89.27923021060276,97.28894989704872,97.45339915241775,97.28894989704872,97.32776389003425,0.9858156028368794,0.9895000766104526,97.28894989704872,1.0000000000000002e-06
8,170.6735918521881,0.2849199438295831,89.16348946986201,97.32326698695951,97.5168187250489,97.32326698695951,97.36073025065383,0.9861015785861359,0.9897165933412597,97.32326698695951,1.0000000000000002e-06
9,167.63403224945068,0.2862050294789527,89.2485929557008,97.56348661633494,97.69044775207018,97.56348661633494,97.59212806955207,0.9870738961336077,0.9904234473943528,97.56348661633494,1.0000000000000002e-07
10,167.26250863075256,0.28625976488794985,89.23724582425562,98.07824296499656,98.15039939360403,98.07824296499656,98.09039292403396,0.990219629375429,0.9927725727313957,98.07824296499656,1.0000000000000002e-07
11,168.43121075630188,0.2876789317890385,89.15100762527233,97.56348661633494,97.67106824871881,97.56348661633494,97.59159917329677,0.9872454815831618,0.9905582412381122,97.56348661633494,1.0000000000000002e-07
12,168.2610092163086,0.2859831451382231,89.17483660130719,97.66643788606726,97.74659734971506,97.66643788606726,97.69119238288614,0.9879890185312286,0.9911179288680269,97.66643788606726,1.0000000000000004e-08
13,167.43632817268372,0.284906249533941,89.23724582425562,97.49485243651338,97.63147847021234,97.49485243651338,97.51517342421859,0.9870167009837565,0.9903947954640167,97.49485243651338,1.0000000000000004e-08
14,166.7364354133606,0.2856795969936583,89.22589869281046,97.80370624571036,97.89950047569246,97.80370624571036,97.82130324604937,0.9887325554792953,0.9916694768224831,97.80370624571036,1.0000000000000004e-08
15,167.31047868728638,0.2870996343857929,89.18164488017429,97.76938915579959,97.85591083615685,97.76938915579959,97.78916415977908,0.9884465797300388,0.991452960091676,97.76938915579959,1.0000000000000005e-09
16,167.10965037345886,0.28833971759365273,89.24405410312274,97.22031571722718,97.37063608179253,97.22031571722718,97.26299391840817,0.9854724319377718,0.989246768273851,97.22031571722718,1.0000000000000005e-09
17,167.35376048088074,0.2827187635832363,89.45284132171388,97.42621825669183,97.59191045108892,97.42621825669183,97.44880356187414,0.9869023106840539,0.9903212122524274,97.42621825669183,1.0000000000000005e-09
18,167.85280990600586,0.28944392824381826,89.11469680464778,97.76938915579959,97.84589858687146,97.76938915579959,97.78907393414003,0.9884465797300389,0.9914529600916763,97.76938915579959,1.0000000000000006e-10
19,167.57034397125244,0.2868801560821032,89.19299201161947,97.90665751544269,97.97496668845147,97.90665751544269,97.92455694064903,0.9891329215282543,0.9919595767648794,97.90665751544269,1.0000000000000006e-10
20,167.55511856079102,0.28601686899687556,89.18731844589688,97.87234042553192,97.95508163807528,97.87234042553192,97.88947411609334,0.9889613360787006,0.9918329225965786,97.87234042553192,1.0000000000000006e-10
21,168.63942074775696,0.2866445164221218,89.2088779956427,97.46053534660261,97.60546424561876,97.46053534660261,97.48859698688237,0.9868451155342026,0.9902681412957159,97.46053534660261,1.0000000000000006e-11
22,167.28329586982727,0.2825234338178549,89.24064996368918,97.42621825669183,97.57002219154752,97.42621825669183,97.45184341314443,0.9867307252345001,0.9901864184086682,97.42621825669183,1.0000000000000006e-11
23,167.36080241203308,0.2884639327400131,89.16122004357298,97.52916952642417,97.68225416632717,97.52916952642417,97.55953000869387,0.9872454815831618,0.9905663809135705,97.52916952642417,1.0000000000000006e-11
24,167.47199749946594,0.2847463736904429,89.2746913580247,97.49485243651338,97.63535566100639,97.49485243651338,97.52066472313267,0.9869595058339052,0.9903498641827636,97.49485243651338,1.0000000000000006e-12
25,165.71428442001343,0.2806956783632329,89.43128177196805,97.63212079615649,97.74311870787969,97.63212079615649,97.64318537162264,0.9879318233813772,0.9910811372622322,97.63212079615649,1.0000000000000006e-12
26,166.69577431678772,0.2807427434739031,89.4414941902687,97.90665751544269,97.981562806426,97.90665751544269,97.92095569377139,0.9891329215282545,0.9919595767648794,97.90665751544269,1.0000000000000006e-12
27,167.61999082565308,0.2856724069723636,89.23611111111111,97.90665751544269,97.97618521975636,97.90665751544269,97.92336243485803,0.9893045069778081,0.9920943706086387,97.90665751544269,1.0000000000000007e-13
28,167.10177421569824,0.2839286843721925,89.32688816267247,97.52916952642417,97.66744833644829,97.52916952642417,97.557347430554,0.9871882864333104,0.9905214496323176,97.52916952642417,1.0000000000000007e-13
